u,v,key,osmid,highway,lanes,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,service,access,tunnel,width
149489898,8186239121,0,880050605,service,,False,False,41.40899159803738,"LINESTRING (-98.439328 29.417896, -98.4392688 29.417934, -98.4392209 29.4179459, -98.4391524 29.417951, -98.4390949 29.4179413, -98.4390225 29.4179412, -98.4389961 29.4179249, -98.4389776 29.4178642)",,,,,,,,
149492462,149492467,0,"[15129080, 1038986128]",motorway_link,"['1', '2']",True,False,402.28118327005086,"LINESTRING (-98.4664364 29.4383165, -98.4652176 29.4382442, -98.4644669 29.4382451, -98.4643324 29.4382446, -98.4641989 29.4382384, -98.464008 29.43821, -98.463646 29.438138, -98.4635836 29.4381244, -98.4631233 29.4380239, -98.462939 29.437988, -98.4627376 29.437964, -98.4623214 29.4379337)",,,,,,,,
149492462,149513183,0,155936225,motorway,4,True,False,549.2315873184469,"LINESTRING (-98.4664364 29.4383165, -98.4629427 29.4383237, -98.4616031 29.4383287, -98.4607648 29.438334)",I 35,North Pan Am Expressway,,60 mph,,,,
149492467,149933430,0,1034051744,secondary,3,True,False,27.543951787725906,"LINESTRING (-98.4623214 29.4379337, -98.462037 29.43793)",,Interstate 35 North,,,,,,
149494241,149518051,0,15131241,motorway_link,2,True,False,223.89225645404386,"LINESTRING (-98.4103974 29.453626, -98.4100912 29.4534635, -98.4097766 29.4532871, -98.4094134 29.4530989, -98.408874 29.452818, -98.4084428 29.452552)",,,,,,,,
149494241,149480587,0,156137208,motorway_link,1,True,False,687.425503275083,"LINESTRING (-98.4103974 29.453626, -98.4102794 29.4535406, -98.4096354 29.4530743, -98.4095284 29.4529562, -98.409461 29.4528394, -98.4094097 29.4527079, -98.4093945 29.4525472, -98.4094207 29.4523961, -98.4094935 29.4522705, -98.4096269 29.4521596, -98.4097561 29.4520809, -98.409908 29.4520182, -98.4101317 29.4519863, -98.4102838 29.4520074, -98.4104096 29.4520446, -98.4105249 29.4520983, -98.4106483 29.4521894, -98.4107476 29.4523085, -98.4112438 29.4530068, -98.4119411 29.4539761, -98.4119921 29.4540648, -98.4120297 29.4541536, -98.412027 29.4542493, -98.4119894 29.4543428, -98.4119277 29.4544245, -98.4115495 29.4547048, -98.4113482 29.4549066)",,,,,,,,
149494261,149494241,0,"[91193518, 91193533, 15129302]",motorway_link,2,True,False,622.7787828040392,"LINESTRING (-98.4158809 29.4534146, -98.4156613 29.4534944, -98.4152295 29.4537477, -98.4148117 29.4539937, -98.414334 29.4542749, -98.413816 29.4545894, -98.4135845 29.454713, -98.4133993 29.4547937, -98.4131982 29.4548505, -98.4129867 29.4548854, -98.4127984 29.4548948, -98.412579 29.4548777, -98.412411 29.4548511, -98.4122265 29.4548045, -98.4120061 29.4547199, -98.411874 29.4546525, -98.4114937 29.4544011, -98.4107627 29.4538671, -98.4103974 29.453626)",,,yes,,,,,
149494261,149518034,0,"[91193520, 156137195, 1026650852]",motorway,3,True,False,636.0098462301814,"LINESTRING (-98.4158809 29.4534146, -98.415705 29.4535448, -98.4154908 29.4537162, -98.4152262 29.4539348, -98.4150301 29.4541092, -98.4147639 29.4543534, -98.4144178 29.4546919, -98.4142748 29.4548408, -98.4140261 29.4551159, -98.4138036 29.4553796, -98.41363 29.4555979, -98.4134715 29.4558063, -98.413209 29.4561825, -98.4128984 29.4566702, -98.4127273 29.4569719, -98.4124832 29.4574469, -98.412176 29.4580636)",I 35,North Pan Am Expressway,yes,60 mph,,,,
149494600,9334853059,0,244782194,tertiary,,True,False,72.29454191133321,"LINESTRING (-98.480916 29.405908, -98.4802413 29.4056301)",,Carolina Street,,,,,,
149494600,149494609,0,15129329,motorway_link,,True,False,335.8146101690455,"LINESTRING (-98.480916 29.405908, -98.481037 29.40543, -98.481091 29.404965, -98.481091 29.404946, -98.481108 29.4043, -98.4810869 29.4029021)",,,,,,,,
